order_id,customer_id,order_date,order_status,payment_method,shipping_cost,discount_amount,total_order_amount
ORD_00035,CUST_00017,2024-04-12 08:08:03,Delivered,PayPal,0.0,0.0,746.49
ORD_00036,CUST_00019,2024-04-12 11:45:06,Delivered,Credit Card,5.99,9.75,61.24
ORD_00037,CUST_00017,2024-04-16 14:13:37,Delivered,Credit Card,0.0,7.9,71.1
ORD_00038,CUST_00020,2024-04-16 16:47:56,Returned,Credit Card,4.99,25.0,540.98
ORD_00039,CUST_00032,2024-04-17 14:07:59,Delivered,PayPal,0.0,0.0,687.5
ORD_00040,CUST_00020,2024-04-20 20:51:11,Delivered,Apple Pay,4.99,38.6,159.38
ORD_00041,CUST_00020,2024-04-22 21:25:56,Delivered,Credit Card,0.0,0.0,402.0
ORD_00042,CUST_00036,2024-04-24 14:47:46,Delivered,Credit Card,0.0,10.0,728.98
ORD_00043,CUST_00037,2024-04-24 16:29:04,Returned,Credit Card,0.0,0.0,249.0
ORD_00044,CUST_00033,2024-04-26 10:20:47,Cancelled,PayPal,0.0,25.0,532.99
ORD_00045,CUST_00040,2024-04-26 18:51:24,Delivered,PayPal,0.0,178.8,715.19
ORD_00046,CUST_00017,2024-04-28 13:41:59,Delivered,PayPal,0.0,0.0,215.98
ORD_00047,CUST_00038,2024-04-28 21:20:29,Delivered,Klarna / BNPL,0.0,25.35,228.15
ORD_00048,CUST_00020,2024-04-30 17:40:06,Delivered,Credit Card,0.0,0.0,163.5
ORD_00049,CUST_00020,2024-05-01 10:05:30,Delivered,Apple Pay,0.0,25.0,1237.98
ORD_00050,CUST_00019,2024-05-01 18:50:03,Delivered,Credit Card,0.0,0.0,632.0
ORD_00051,CUST_00039,2024-05-01 19:42:01,Delivered,Credit Card,0.0,15.0,722.49
ORD_00052,CUST_00036,2024-05-03 12:59:34,Delivered,PayPal,0.0,0.0,143.48
ORD_00053,CUST_00045,2024-05-04 11:02:54,Delivered,Credit Card,0.0,10.0,238.99
ORD_00054,CUST_00044,2024-05-04 13:33:12,Delivered,Credit Card,0.0,37.27,211.22
ORD_00055,CUST_00027,2024-05-06 22:40:52,Returned,Credit Card,0.0,0.0,479.97
ORD_00056,CUST_00041,2024-05-07 09:05:46,Returned,Credit Card,0.0,0.0,1971.0
ORD_00057,CUST_00046,2024-05-07 17:09:42,Delivered,Klarna / BNPL,0.0,0.0,107.99
ORD_00058,CUST_00042,2024-05-10 16:32:08,Delivered,Klarna / BNPL,0.0,0.0,206.0
ORD_00059,CUST_00047,2024-05-13 09:55:36,Delivered,Credit Card,0.0,0.0,183.0
ORD_00060,CUST_00040,2024-05-15 10:30:34,Delivered,PayPal,0.0,0.0,83.98
ORD_00061,CUST_00020,2024-05-16 13:02:18,Delivered,Credit Card,0.0,0.0,228.0
ORD_00062,CUST_00051,2024-05-17 20:21:02,Returned,PayPal,8.99,0.0,77.49
ORD_00063,CUST_00052,2024-05-18 10:34:00,Delivered,Apple Pay,0.0,131.65,1184.84
ORD_00064,CUST_00049,2024-05-20 21:55:05,Delivered,Klarna / BNPL,0.0,0.0,494.48
ORD_00065,CUST_00053,2024-05-24 18:45:28,Delivered,Credit Card,0.0,15.0,685.97
ORD_00066,CUST_00057,2024-05-27 12:00:48,Delivered,Credit Card,4.99,0.0,122.99
ORD_00067,CUST_00036,2024-05-30 10:03:24,Delivered,Credit Card,0.0,0.0,595.0
ORD_00068,CUST_00063,2024-05-31 19:40:10,Delivered,Klarna / BNPL,0.0,0.0,1184.5
ORD_00069,CUST_00061,2024-06-01 10:25:14,Delivered,Apple Pay,8.99,3.8,43.19
ORD_00070,CUST_00056,2024-06-01 11:37:32,Delivered,PayPal,0.0,18.0,161.96
ORD_00071,CUST_00058,2024-06-01 12:56:17,Delivered,Credit Card,0.0,53.2,212.79
ORD_00072,CUST_00066,2024-06-02 15:59:24,Delivered,PayPal,0.0,0.0,480.0
ORD_00073,CUST_00020,2024-06-04 09:54:52,Delivered,Credit Card,0.0,0.0,250.0
ORD_00074,CUST_00065,2024-06-04 10:33:38,Cancelled,Credit Card,0.0,0.0,130.0
ORD_00075,CUST_00013,2024-06-07 21:44:12,Delivered,PayPal,0.0,0.0,668.49
ORD_00076,CUST_00070,2024-06-11 08:12:52,Delivered,Credit Card,5.99,0.0,43.99
ORD_00077,CUST_00040,2024-06-11 08:13:06,Delivered,Credit Card,0.0,0.0,272.0
ORD_00078,CUST_00064,2024-06-11 22:23:56,Delivered,PayPal,0.0,0.0,278.49
ORD_00079,CUST_00029,2024-06-12 10:24:39,Returned,Credit Card,0.0,0.0,310.5
ORD_00080,CUST_00071,2024-06-12 21:13:02,Delivered,Credit Card,5.99,0.0,44.98
ORD_00081,CUST_00072,2024-06-14 10:24:19,Delivered,Credit Card,0.0,0.0,83.5
ORD_00082,CUST_00067,2024-06-14 12:11:33,Delivered,Credit Card,0.0,44.4,251.59
ORD_00083,CUST_00073,2024-06-14 13:06:42,Delivered,Klarna / BNPL,0.0,0.0,548.98
ORD_00084,CUST_00040,2024-06-14 21:34:48,Delivered,Credit Card,0.0,0.0,564.96
ORD_00085,CUST_00040,2024-06-18 16:54:20,Delivered,Credit Card,0.0,0.0,581.45
ORD_00086,CUST_00074,2024-06-22 08:52:09,Delivered,Credit Card,0.0,15.0,340.0
ORD_00087,CUST_00081,2024-06-26 08:28:50,Delivered,Credit Card,0.0,0.0,372.98
ORD_00088,CUST_00079,2024-06-27 09:31:21,Delivered,Credit Card,0.0,145.05,821.95
ORD_00089,CUST_00076,2024-06-28 12:32:47,Returned,Apple Pay,4.99,0.0,120.99
ORD_00090,CUST_00083,2024-06-28 13:30:43,Delivered,Klarna / BNPL,4.99,25.35,148.64
ORD_00091,CUST_00040,2024-06-29 19:13:44,Delivered,PayPal,0.0,19.72,111.78
ORD_00092,CUST_00075,2024-06-30 18:47:28,Delivered,Credit Card,0.0,48.0,192.0
ORD_00093,CUST_00040,2024-06-30 19:31:48,Delivered,Credit Card,0.0,0.0,191.49
ORD_00094,CUST_00081,2024-07-02 14:32:08,Delivered,PayPal,5.99,0.0,58.99
ORD_00095,CUST_00086,2024-07-02 21:10:55,Delivered,Credit Card,0.0,0.0,420.0
ORD_00096,CUST_00080,2024-07-04 12:28:07,Delivered,Credit Card,0.0,43.6,392.39
ORD_00097,CUST_00050,2024-07-04 12:56:22,Delivered,Credit Card,5.99,0.0,43.99
ORD_00098,CUST_00089,2024-07-04 15:16:17,Delivered,Credit Card,0.0,0.0,523.47
ORD_00099,CUST_00020,2024-07-04 15:17:11,Delivered,Apple Pay,0.0,0.0,494.5
ORD_00100,CUST_00070,2024-07-05 16:06:55,Delivered,PayPal,0.0,0.0,1769.9
ORD_00101,CUST_00070,2024-07-07 11:13:49,Delivered,Credit Card,0.0,37.8,214.19
ORD_00102,CUST_00087,2024-07-07 12:35:59,Delivered,PayPal,0.0,16.2,91.8
ORD_00103,CUST_00055,2024-07-11 13:35:10,Delivered,Apple Pay,0.0,0.0,438.97
ORD_00104,CUST_00083,2024-07-12 11:33:41,Delivered,Klarna / BNPL,0.0,83.4,750.59
ORD_00105,CUST_00081,2024-07-12 20:38:01,Delivered,Credit Card,0.0,0.0,176.5
ORD_00106,CUST_00084,2024-07-14 17:59:08,Delivered,Credit Card,0.0,20.0,386.5
ORD_00107,CUST_00090,2024-07-15 10:45:59,Delivered,Credit Card,0.0,0.0,173.97
ORD_00108,CUST_00060,2024-07-15 13:24:56,Returned,Credit Card,0.0,20.0,179.98
ORD_00109,CUST_00096,2024-07-16 12:35:02,Delivered,Credit Card,0.0,10.0,408.5
ORD_00110,CUST_00001,2024-07-16 13:29:54,Delivered,Credit Card,0.0,0.0,219.0
ORD_00111,CUST_00097,2024-07-16 19:57:59,Delivered,Apple Pay,0.0,80.55,456.45
ORD_00112,CUST_00093,2024-07-16 21:32:03,Delivered,Klarna / BNPL,0.0,51.6,464.39
ORD_00113,CUST_00025,2024-07-17 20:46:37,Delivered,PayPal,0.0,0.0,634.46
ORD_00114,CUST_00082,2024-07-18 08:12:01,Delivered,Credit Card,0.0,56.45,508.01
ORD_00115,CUST_00048,2024-07-20 12:05:36,Delivered,Apple Pay,0.0,15.0,1234.94
ORD_00116,CUST_00094,2024-07-20 21:22:19,Delivered,Credit Card,0.0,0.0,103.0
ORD_00117,CUST_00095,2024-07-23 09:11:45,Delivered,Klarna / BNPL,0.0,0.0,192.5
ORD_00118,CUST_00048,2024-07-23 09:55:59,Delivered,Credit Card,0.0,0.0,479.47
ORD_00119,CUST_00048,2024-07-23 19:51:02,Delivered,Credit Card,0.0,0.0,168.99
ORD_00120,CUST_00092,2024-07-24 11:21:39,Delivered,PayPal,0.0,69.8,628.19
ORD_00121,CUST_00076,2024-07-25 19:11:20,Delivered,Credit Card,8.99,0.0,59.99
ORD_00122,CUST_00100,2024-07-26 08:55:14,Cancelled,Credit Card,5.99,13.2,58.79
ORD_00123,CUST_00101,2024-07-27 11:20:13,Delivered,Klarna / BNPL,0.0,0.0,1770.43
ORD_00124,CUST_00078,2024-07-27 14:41:31,Delivered,Klarna / BNPL,0.0,0.0,183.0
ORD_00125,CUST_00069,2024-07-27 18:03:50,Cancelled,Credit Card,0.0,0.0,458.5
ORD_00126,CUST_00099,2024-07-29 15:00:05,Delivered,Credit Card,0.0,0.0,322.0
ORD_00127,CUST_00092,2024-07-29 19:53:12,Delivered,Credit Card,0.0,0.0,454.0
ORD_00128,CUST_00098,2024-07-29 22:36:14,Delivered,Apple Pay,0.0,25.0,930.99
ORD_00129,CUST_00050,2024-07-30 13:41:15,Delivered,Credit Card,4.99,0.0,201.99
ORD_00130,CUST_00092,2024-07-30 15:35:18,Delivered,Credit Card,0.0,0.0,417.0
ORD_00131,CUST_00059,2024-07-30 15:40:36,Delivered,Credit Card,0.0,88.79,503.13
ORD_00132,CUST_00078,2024-08-01 13:44:35,Delivered,Credit Card,8.99,5.7,41.29
ORD_00133,CUST_00048,2024-08-01 21:44:30,Delivered,Credit Card,0.0,0.0,200.0
ORD_00134,CUST_00023,2024-08-01 22:02:14,Delivered,Credit Card,8.99,0.0,77.49
ORD_00135,CUST_00048,2024-08-02 13:40:58,Delivered,Klarna / BNPL,0.0,95.0,379.99
ORD_00136,CUST_00104,2024-08-02 18:52:27,Cancelled,Credit Card,0.0,0.0,796.48
ORD_00137,CUST_00040,2024-08-03 11:04:10,Delivered,Klarna / BNPL,4.99,25.0,80.49
ORD_00138,CUST_00078,2024-08-04 13:28:47,Delivered,Credit Card,5.99,0.0,74.49
ORD_00139,CUST_00081,2024-08-08 08:57:22,Delivered,Credit Card,0.0,0.0,510.0
ORD_00140,CUST_00082,2024-08-08 10:48:33,Delivered,Credit Card,0.0,0.0,385.99
ORD_00141,CUST_00062,2024-08-08 21:47:00,Delivered,Klarna / BNPL,4.99,0.0,253.99
ORD_00142,CUST_00048,2024-08-10 11:03:20,Delivered,Credit Card,4.99,15.0,66.98
ORD_00143,CUST_00040,2024-08-14 15:00:52,Cancelled,Klarna / BNPL,0.0,0.0,630.46
ORD_00144,CUST_00035,2024-08-15 09:08:15,Returned,Klarna / BNPL,0.0,0.0,273.99
ORD_00145,CUST_00073,2024-08-16 09:23:26,Delivered,Klarna / BNPL,4.99,67.42,387.07
ORD_00146,CUST_00108,2024-08-17 15:32:19,Delivered,PayPal,0.0,0.0,116.97
ORD_00147,CUST_00111,2024-08-18 16:09:21,Cancelled,Credit Card,0.0,182.4,729.59
ORD_00148,CUST_00078,2024-08-19 22:18:11,Delivered,Credit Card,0.0,76.35,432.64
ORD_00149,CUST_00068,2024-08-20 13:28:46,Delivered,Credit Card,0.0,10.0,447.98
ORD_00150,CUST_00114,2024-08-22 19:37:47,Delivered,Credit Card,0.0,0.0,427.97
ORD_00151,CUST_00076,2024-08-23 21:44:35,Delivered,PayPal,0.0,0.0,106.0
ORD_00152,CUST_00112,2024-08-24 18:14:23,Delivered,Apple Pay,0.0,0.0,176.99
ORD_00153,CUST_00040,2024-08-25 11:56:51,Delivered,Apple Pay,0.0,16.2,91.77
ORD_00154,CUST_00040,2024-08-25 18:30:32,Cancelled,PayPal,4.99,21.2,195.78
ORD_00155,CUST_00110,2024-08-25 21:45:13,Delivered,Credit Card,0.0,0.0,191.0
ORD_00156,CUST_00106,2024-08-26 18:06:03,Delivered,Credit Card,0.0,0.0,304.5
ORD_00157,CUST_00115,2024-08-27 21:58:07,Delivered,Credit Card,0.0,44.1,176.4
ORD_00158,CUST_00113,2024-08-28 20:12:59,Delivered,Credit Card,0.0,0.0,270.0
ORD_00159,CUST_00068,2024-08-30 14:47:54,Delivered,PayPal,0.0,0.0,577.49
ORD_00160,CUST_00050,2024-08-31 19:07:54,Delivered,Credit Card,0.0,0.0,122.5
ORD_00161,CUST_00040,2024-09-02 17:59:32,Delivered,PayPal,0.0,0.0,251.99
ORD_00162,CUST_00092,2024-09-06 12:14:25,Delivered,Credit Card,0.0,0.0,253.0
ORD_00163,CUST_00106,2024-09-06 17:57:34,Delivered,Credit Card,5.99,0.0,74.49
ORD_00164,CUST_00116,2024-09-10 20:24:44,Delivered,PayPal,0.0,0.0,456.49
ORD_00165,CUST_00040,2024-09-15 08:50:43,Delivered,Credit Card,0.0,0.0,528.99
ORD_00166,CUST_00110,2024-09-15 11:06:33,Delivered,PayPal,0.0,0.0,250.0
ORD_00167,CUST_00034,2024-09-18 11:20:14,Delivered,Apple Pay,0.0,15.08,85.42
ORD_00168,CUST_00124,2024-09-19 17:18:47,Delivered,Credit Card,0.0,0.0,401.5
ORD_00169,CUST_00122,2024-09-20 11:35:37,Delivered,Apple Pay,0.0,20.0,436.97
ORD_00170,CUST_00120,2024-09-20 16:27:26,Delivered,PayPal,0.0,21.38,121.12
ORD_00171,CUST_00012,2024-09-21 17:03:45,Delivered,Credit Card,0.0,15.0,522.99
ORD_00172,CUST_00083,2024-09-21 20:55:51,Delivered,PayPal,0.0,0.0,505.97
ORD_00173,CUST_00123,2024-09-24 18:52:55,Delivered,Credit Card,8.99,25.0,55.97
ORD_00174,CUST_00130,2024-09-24 22:31:26,Delivered,Credit Card,0.0,27.45,247.03
ORD_00175,CUST_00128,2024-09-27 08:25:19,Delivered,Credit Card,0.0,60.0,239.98
ORD_00176,CUST_00110,2024-09-27 12:00:44,Delivered,Credit Card,0.0,0.0,426.96
ORD_00177,CUST_00102,2024-09-27 18:00:13,Delivered,Credit Card,0.0,15.3,86.7
ORD_00178,CUST_00109,2024-09-28 15:51:18,Delivered,Credit Card,5.99,0.0,30.49
ORD_00179,CUST_00106,2024-09-28 18:29:58,Delivered,Credit Card,4.99,25.0,256.98
ORD_00180,CUST_00110,2024-09-29 16:10:29,Returned,PayPal,0.0,15.0,201.48
ORD_00181,CUST_00129,2024-10-01 13:17:44,Delivered,Credit Card,0.0,0.0,411.5
ORD_00182,CUST_00126,2024-10-01 22:49:17,Delivered,Apple Pay,0.0,28.1,112.39
ORD_00183,CUST_00110,2024-10-02 08:58:11,Delivered,Credit Card,8.99,0.0,77.49
ORD_00184,CUST_00110,2024-10-03 10:50:01,Delivered,Klarna / BNPL,0.0,25.0,100.0
ORD_00185,CUST_00070,2024-10-05 12:31:22,Delivered,Apple Pay,0.0,0.0,122.49
ORD_00186,CUST_00110,2024-10-09 21:41:42,Delivered,Apple Pay,0.0,25.0,594.98
ORD_00187,CUST_00106,2024-10-09 22:32:25,Delivered,Credit Card,0.0,0.0,154.5
ORD_00188,CUST_00084,2024-10-11 15:20:16,Delivered,Credit Card,0.0,37.1,333.9
ORD_00189,CUST_00131,2024-10-11 19:07:09,Returned,Klarna / BNPL,0.0,0.0,479.5
ORD_00190,CUST_00085,2024-10-12 08:01:04,Delivered,Apple Pay,0.0,10.5,94.49
ORD_00191,CUST_00132,2024-10-14 10:17:27,Delivered,Credit Card,5.99,0.0,58.99
ORD_00192,CUST_00134,2024-10-14 10:47:36,Delivered,PayPal,0.0,16.35,147.13
ORD_00193,CUST_00070,2024-10-15 11:04:46,Delivered,Credit Card,0.0,0.0,769.97
ORD_00194,CUST_00073,2024-10-15 18:52:08,Delivered,PayPal,0.0,10.0,164.5
ORD_00195,CUST_00059,2024-10-16 19:28:49,Delivered,PayPal,0.0,0.0,472.0
ORD_00196,CUST_00117,2024-10-18 21:02:11,Cancelled,Credit Card,0.0,0.0,764.98
ORD_00197,CUST_00034,2024-10-20 15:28:03,Delivered,Apple Pay,0.0,80.77,457.73
ORD_00198,CUST_00138,2024-10-22 10:20:35,Delivered,Credit Card,8.99,12.9,60.59
ORD_00199,CUST_00043,2024-10-22 15:01:07,Delivered,Klarna / BNPL,0.0,20.0,84.99
ORD_00200,CUST_00136,2024-10-23 13:25:59,Delivered,PayPal,0.0,0.0,565.49
ORD_00201,CUST_00137,2024-10-26 09:47:38,Returned,Credit Card,4.99,0.0,88.49
ORD_00202,CUST_00016,2024-10-27 12:13:39,Returned,Credit Card,0.0,21.25,191.25
ORD_00203,CUST_00135,2024-10-29 17:14:19,Delivered,PayPal,0.0,0.0,1037.41
ORD_00204,CUST_00119,2024-10-31 14:27:09,Delivered,Credit Card,0.0,0.0,264.5
ORD_00205,CUST_00062,2024-10-31 14:33:32,Delivered,Apple Pay,0.0,20.0,166.0
ORD_00206,CUST_00040,2024-10-31 18:24:32,Delivered,Credit Card,0.0,0.0,223.48
ORD_00207,CUST_00040,2024-10-31 19:48:00,Delivered,PayPal,5.99,0.0,72.49
ORD_00208,CUST_00102,2024-11-01 17:24:00,Delivered,Credit Card,0.0,33.75,191.24
ORD_00209,CUST_00119,2024-11-02 08:06:24,Delivered,Apple Pay,0.0,0.0,600.47
ORD_00210,CUST_00122,2024-11-02 11:56:14,Delivered,Credit Card,0.0,0.0,146.5
ORD_00211,CUST_00070,2024-11-02 12:11:44,Delivered,Credit Card,0.0,19.4,174.59
ORD_00212,CUST_00142,2024-11-02 17:34:38,Delivered,Credit Card,0.0,0.0,334.49
ORD_00213,CUST_00078,2024-11-02 17:36:51,Delivered,Credit Card,5.99,0.0,58.99
ORD_00214,CUST_00141,2024-11-03 21:47:09,Delivered,PayPal,0.0,0.0,598.99
ORD_00215,CUST_00035,2024-11-05 08:59:05,Delivered,Apple Pay,0.0,0.0,348.0
ORD_00216,CUST_00140,2024-11-05 09:57:27,Delivered,Credit Card,0.0,15.0,247.0
ORD_00217,CUST_00140,2024-11-05 15:49:53,Delivered,Credit Card,0.0,0.0,366.0
ORD_00218,CUST_00110,2024-11-07 12:35:42,Delivered,Credit Card,0.0,0.0,1269.49
ORD_00219,CUST_00133,2024-11-07 14:14:22,Delivered,Credit Card,5.99,0.0,58.99
ORD_00220,CUST_00117,2024-11-08 11:28:40,Delivered,PayPal,0.0,0.0,137.0
ORD_00221,CUST_00078,2024-11-10 10:14:09,Delivered,Credit Card,0.0,10.0,262.99
ORD_00222,CUST_00148,2024-11-10 20:03:57,Delivered,Credit Card,4.99,0.0,1725.98
ORD_00223,CUST_00140,2024-11-10 20:38:55,Delivered,Credit Card,0.0,0.0,200.99
ORD_00224,CUST_00146,2024-11-11 20:10:44,Delivered,Credit Card,8.99,14.4,30.58
ORD_00225,CUST_00109,2024-11-11 21:57:12,Cancelled,Credit Card,0.0,0.0,494.98
ORD_00226,CUST_00106,2024-11-14 08:07:10,Delivered,Credit Card,0.0,15.0,287.0
ORD_00227,CUST_00011,2024-11-14 15:09:04,Delivered,Apple Pay,0.0,0.0,394.47
ORD_00228,CUST_00012,2024-11-14 17:19:24,Delivered,PayPal,0.0,0.0,166.5
ORD_00229,CUST_00147,2024-11-16 09:06:14,Delivered,PayPal,0.0,36.5,328.5
ORD_00230,CUST_00149,2024-11-19 22:06:44,Delivered,Credit Card,0.0,178.99,715.97
ORD_00231,CUST_00062,2024-11-21 09:44:34,Delivered,PayPal,0.0,31.12,176.38
ORD_00232,CUST_00140,2024-11-21 14:02:56,Delivered,Credit Card,0.0,42.55,382.92
ORD_00233,CUST_00078,2024-11-22 20:32:43,Returned,Klarna / BNPL,0.0,23.18,131.32
ORD_00234,CUST_00156,2024-11-23 08:23:15,Delivered,Apple Pay,0.0,20.4,81.6
ORD_00235,CUST_00110,2024-11-23 11:03:11,Delivered,Apple Pay,0.0,0.0,182.0
ORD_00236,CUST_00151,2024-11-23 11:54:20,Returned,Credit Card,0.0,30.8,277.18
ORD_00237,CUST_00119,2024-11-23 14:43:47,Delivered,PayPal,4.99,0.0,200.99
ORD_00238,CUST_00154,2024-11-23 15:41:43,Delivered,Apple Pay,0.0,0.0,370.99
ORD_00239,CUST_00169,2024-11-24 10:11:07,Cancelled,Credit Card,0.0,0.0,489.47
ORD_00240,CUST_00001,2024-11-24 11:26:25,Returned,Apple Pay,4.99,0.0,142.99
ORD_00241,CUST_00140,2024-11-24 15:44:53,Returned,PayPal,5.99,0.0,71.99
ORD_00242,CUST_00158,2024-11-26 14:12:38,Delivered,Credit Card,0.0,38.9,350.08
ORD_00243,CUST_00105,2024-11-26 15:06:22,Delivered,Apple Pay,0.0,0.0,576.0
ORD_00244,CUST_00164,2024-11-26 22:23:25,Delivered,Credit Card,0.0,0.0,243.99
ORD_00245,CUST_00084,2024-11-27 16:54:59,Delivered,Credit Card,0.0,0.0,335.98
ORD_00246,CUST_00016,2024-11-28 10:41:46,Delivered,Credit Card,0.0,125.29,501.17
ORD_00247,CUST_00152,2024-11-28 20:14:58,Delivered,Credit Card,0.0,0.0,824.99
ORD_00248,CUST_00078,2024-11-29 12:46:49,Delivered,Credit Card,4.99,15.0,681.97
ORD_00249,CUST_00172,2024-11-29 21:29:26,Delivered,PayPal,8.99,0.0,74.99
ORD_00250,CUST_00055,2024-11-30 12:03:46,Delivered,Credit Card,0.0,10.0,697.98
ORD_00251,CUST_00173,2024-11-30 17:02:37,Delivered,PayPal,0.0,0.0,279.49
ORD_00252,CUST_00175,2024-12-01 09:31:46,Delivered,Credit Card,4.99,0.0,152.97
ORD_00253,CUST_00166,2024-12-01 11:24:04,Delivered,Klarna / BNPL,0.0,0.0,230.5
ORD_00254,CUST_00109,2024-12-01 15:55:58,Delivered,Credit Card,0.0,42.5,170.0
ORD_00255,CUST_00140,2024-12-03 17:41:37,Delivered,PayPal,0.0,0.0,204.0
ORD_00256,CUST_00062,2024-12-03 18:44:03,Delivered,Apple Pay,5.99,7.8,50.19
ORD_00257,CUST_00174,2024-12-04 10:45:04,Delivered,PayPal,0.0,0.0,374.49
ORD_00258,CUST_00125,2024-12-05 16:36:20,Delivered,Apple Pay,0.0,15.8,63.2
ORD_00259,CUST_00170,2024-12-06 17:19:50,Delivered,Apple Pay,5.99,7.2,46.79
ORD_00260,CUST_00168,2024-12-07 22:23:12,Delivered,PayPal,0.0,87.9,498.08
ORD_00261,CUST_00140,2024-12-07 22:31:40,Delivered,Credit Card,0.0,10.0,2008.48
ORD_00262,CUST_00157,2024-12-09 14:31:57,Delivered,Credit Card,0.0,20.0,186.0
ORD_00263,CUST_00176,2024-12-10 13:11:46,Delivered,Credit Card,0.0,0.0,774.97
ORD_00264,CUST_00163,2024-12-10 17:18:43,Delivered,Credit Card,0.0,0.0,183.0
ORD_00265,CUST_00084,2024-12-11 08:06:52,Delivered,PayPal,4.99,64.3,262.19
ORD_00266,CUST_00162,2024-12-11 11:51:20,Delivered,Credit Card,4.99,0.0,136.49
ORD_00267,CUST_00078,2024-12-13 22:07:27,Delivered,Credit Card,4.99,71.85,651.64
ORD_00268,CUST_00048,2024-12-14 10:15:19,Delivered,PayPal,0.0,0.0,258.5
ORD_00269,CUST_00181,2024-12-14 15:15:17,Delivered,Credit Card,0.0,0.0,615.98
ORD_00270,CUST_00157,2024-12-14 17:08:37,Delivered,Credit Card,0.0,228.19,912.77
ORD_00271,CUST_00171,2024-12-14 19:47:00,Delivered,Apple Pay,5.99,13.7,60.79
ORD_00272,CUST_00182,2024-12-15 18:14:50,Delivered,Credit Card,0.0,142.3,1280.69
ORD_00273,CUST_00171,2024-12-16 11:20:18,Cancelled,Credit Card,4.99,0.0,88.99
ORD_00274,CUST_00133,2024-12-17 09:25:28,Delivered,Credit Card,8.99,10.0,50.99
ORD_00275,CUST_00175,2024-12-18 20:04:21,Returned,Credit Card,0.0,25.0,79.99
ORD_00276,CUST_00155,2024-12-18 22:19:36,Delivered,Credit Card,0.0,453.08,1812.32
